T,power,danger,structure,coverage
62700,0.01643,-0.10994,-0.00150,0.288
62800,0.01719,-0.11113,-0.00205,0.288
62900,0.01714,-0.11177,-0.00185,0.288
63000,0.01652,-0.11198,-0.00128,0.288
63100,0.01609,-0.11213,-0.00110,0.287
63200,0.01812,-0.11256,-0.00145,0.288
63300,0.01950,-0.11308,-0.00148,0.287
63400,0.01962,-0.11346,-0.00160,0.288
63500,0.02007,-0.11498,-0.00181,0.288
63600,0.02094,-0.11537,-0.00207,0.288
63700,0.02010,-0.11530,-0.00210,0.286
63800,0.01972,-0.11491,-0.00244,0.287
63900,0.01876,-0.11484,-0.00227,0.286
64000,0.02050,-0.11568,-0.00265,0.285
64100,0.02093,-0.11527,-0.00261,0.285
